identity,role,category,category_index,direct_identity,current_behavior,target_disposition,deterministic_knowledge_semantics,representation,byte_owner,timing_class,action_trigger,preflight_postflight_placement,freshness_authority,ambiguity_policy,omission_policy,raw_preservation_rule,decision_eligibility,model_visibility,migration_work,status,receipt
nudge_compliance_rate,perf,PERF,44,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
L1_followed_rate,perf,PERF,45,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
contract_consulted_rate,perf,PERF,46,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
obligation_completion_rate,perf,PERF,47,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
nudge_action_rate,perf,PERF,48,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
scope_chain_followed,perf,PERF,49,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
total_steps,perf,PERF,50,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
total_tokens_in,perf,PERF,51,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
total_tokens_out,perf,PERF,52,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
total_cost_usd,perf,PERF,53,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
cache_hit_rate,perf,PERF,54,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
tokens_per_gold_edit,perf,PERF,55,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
cost_per_resolved,perf,PERF,56,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
gt_token_overhead,perf,PERF,57,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
wasted_token_rate,perf,PERF,58,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
